,Date,Nifty Value,PE Ratio,10_years_%_Change,monthly_%_Change,Residual_Corpus_monthly,Monthly_Netflow,Cummulative_Inflow,Residual_Corpus_10_years
17,2001-12-31,1059.05,14.441,,-0.007590310640491205,7161560.133389182,-5156.637628491335,-1138439.8666108197,
18,2002-01-31,1080.45,16.7436,,0.02020678910344187,7256272.268656194,194712.13526701223,-943727.7313438074,
19,2002-02-28,1142.05,17.5395,,0.05701328150307727,7619976.162172063,463703.89351586875,-480023.83782793867,
20,2002-03-28,1129.55,17.4049,,-0.010945230068736045,7486573.769958805,-33402.39221325755,-513426.2300411962,
21,2002-04-30,1084.5,15.5275,,-0.03988313930326237,7137985.705387388,-248588.06457141717,-762014.2946126134,
22,2002-05-31,1028.8,13.9771,,-0.05136007376671281,6721378.233012951,-316607.47237443784,-1078621.7669870513,
23,2002-06-28,1057.8,14.3708,,0.028188180404354668,6860841.655211023,239463.42219807167,-839158.3447889797,
24,2002-07-31,958.9,12.645199999999999,,-0.0934959349593496,6169380.850049017,-591460.8051620063,-1430619.149950986,
25,2002-08-30,1010.6,13.3376,,0.05391594535405164,6452008.850828593,382628.0007795755,-1047991.1491714106,
26,2002-09-30,963.15,12.213,,-0.0469523055610529,6099072.15978187,-252936.69104672183,-1300927.8402181324,
27,2002-10-31,951.4,11.8034,,-0.012199553548253084,5974666.202373952,-24405.95740791851,-1325333.797626051,
28,2002-11-29,1050.15,13.0285,,0.1037944082404878,6544803.145283799,670136.9429098469,-655196.854716204,
29,2002-12-31,1093.5,12.6738,,0.04127981716897566,6764971.422528051,320168.2772442521,-335028.5774719519,
30,2003-01-31,1041.85,12.0752,,-0.04723365340649299,6395437.107051531,-269534.3154765198,-604562.8929484717,
31,2003-02-28,1063.4,12.325,,0.020684359552718856,6477722.627670585,182285.52061905398,-422277.37232941773,
32,2003-03-31,978.2,10.6782,,-0.08012036862892613,5908725.102865682,-468997.5248049033,-891274.897134321,
33,2003-04-30,934.05,10.1962,,-0.04513391944387657,5592041.180056931,-216683.922808751,-1107958.819943072,
34,2003-05-30,1006.8,10.2758,,0.07788662277180025,5977586.381972399,485545.2019154669,-622413.6180276051,
35,2003-06-30,1134.15,10.9625,,0.12648986889153768,6683690.499715928,806104.1177435298,183690.49971592473,
36,2003-07-31,1185.85,11.4623,,0.045584799188819636,6938365.1889857,354674.68926977215,538365.1889856969,
37,2003-08-29,1356.55,13.2405,,0.14394737951680225,7887124.6760707935,1048759.487085094,1587124.6760707907,
38,2003-09-30,1417.1,12.9077,,0.04463528804688366,8189168.757848897,402044.08177810383,1989168.7578488947,
39,2003-10-31,1555.9,14.1719,,0.09794651047914771,8941269.261405053,852100.5035561561,2841269.2614050508,
