,Date,Nifty Value,PE Ratio,10_years_%_Change,monthly_%_Change,Residual_Corpus_monthly,Monthly_Netflow,Cummulative_Inflow,Residual_Corpus_10_years,IRR
189,2016-04-29,7849.8,19.4514,1.2064875196761862,0.014395740721596217,30233275.78634786,479763.4236030416,39133275.78634787,16064875.196761861,11.533418386232519
190,2016-05-31,8160.1,20.2354,1.65710424773286,0.03952966954572101,31378387.187466837,1245111.4011189796,40378387.18746685,20571042.4773286,18.067380774443052
191,2016-06-30,8287.75,20.6849,1.649367048142702,0.015643190647173455,31819245.280441206,540858.0929743686,40919245.280441225,20493670.48142702,17.96498011947707
192,2016-07-29,8638.5,21.5603,1.7483138203105115,0.04232149859732748,33115883.424945418,1396638.1445042114,42315883.42494544,21483138.203105114,19.252729051071693
193,2016-08-31,8786.2,21.9577,1.573654764345763,0.017097875788620875,33632094.68637558,616211.2614301656,42932094.6863756,19736547.64345763,16.94689712001194
194,2016-09-30,8611.15,22.0019,1.3997185375097536,-0.01992328879379035,32912032.751198817,-620061.9351767626,42312032.75119884,17997185.375097536,14.488806609327254
195,2016-10-30,8625.7,22.039,1.3038113298255927,0.0016896697885881995,32917643.218619544,105610.467420726,42417643.21861957,17038113.298255928,13.054217928856238
196,2016-11-30,8224.5,21.0207,1.0797825262359337,-0.046512167128465065,31336572.295759927,-1481070.9228596168,40936572.29575995,14797825.262359338,9.443384129452381
197,2016-12-30,8185.8,20.9218,1.0637858007260994,-0.004705453219040701,31139119.520777144,-97452.7749827852,40839119.520777166,14637858.007260995,9.169823807533216
198,2017-01-31,8561.3,21.4793,1.0969701423077862,0.0458721200127048,32517536.948524192,1478417.4277470477,42317536.948524214,14969701.423077863,9.734784732256351
199,2017-02-28,8879.6,22.2696,1.3708648172376043,0.03717893310595377,33676504.279503755,1258967.330979561,43576504.27950378,17708648.172376044,14.063528581608974
200,2017-03-31,9173.75,21.714,1.4005311980740798,0.03312649218433261,34742088.73531438,1165584.4558106249,44742088.7353144,18005311.9807408,14.500708277865716
201,2017-04-28,9304.05,22.0217,1.2759974559064555,0.014203569968660457,35185550.42352383,543461.688209448,45285550.42352384,16759974.559064556,12.626567502992202
202,2017-05-31,9621.25,22.6251,1.2396876018436611,0.03409268006943211,36335120.137179896,1249569.7136560695,46535120.13717991,16396876.01843661,12.059988535702137
203,2017-06-30,9520.9,22.3883,1.2047796586619732,-0.010430037677017112,35906143.46515017,-328976.6720297295,46206143.465150185,16047796.586619733,11.50610511984167
204,2017-07-31,10077.1,23.6962,1.2250902547004205,0.058418846957745574,37953738.96508364,2147595.499933464,48353738.96508365,16250902.547004206,11.829487750143052
205,2017-08-31,9917.9,23.3218,1.2217517921146954,-0.01579819590953757,37304138.36141379,-549600.6036698411,47804138.36141381,16217517.921146953,11.776547656261037
