,,,,
Date,Nifty Value,,Date,PE Ratio
05-01-2001,1327.25,,05-01-2001,18.2926
08-01-2001,1309.25,,08-01-2001,18.0445
09-01-2001,1311.65,,09-01-2001,18.0776
10-01-2001,1287.3,,10-01-2001,17.742
11-01-2001,1280.4,,11-01-2001,17.6469
12-01-2001,1286.75,,12-01-2001,17.7344
15-01-2001,1286.75,,15-01-2001,17.7344
16-01-2001,1293.05,,16-01-2001,17.8213
17-01-2001,1297.9,,17-01-2001,17.8881
18-01-2001,1305.95,,18-01-2001,17.999
19-01-2001,1329.1,,19-01-2001,18.3181
22-01-2001,1348,,22-01-2001,18.5786
23-01-2001,1355.2,,23-01-2001,18.6778
24-01-2001,1365.95,,24-01-2001,18.826
25-01-2001,1370.1,,25-01-2001,18.8832
29-01-2001,1342.05,,29-01-2001,18.4966
30-01-2001,1379.7,,30-01-2001,19.0155
31-01-2001,1371.7,,31-01-2001,18.9052
01-02-2001,1359.15,,01-02-2001,18.7323
02-02-2001,1378.85,,02-02-2001,19.0038
05-02-2001,1382.6,,05-02-2001,19.0555
06-02-2001,1387.1,,06-02-2001,19.1175
07-02-2001,1370.8,,07-02-2001,18.8928
08-02-2001,1395.5,,08-02-2001,19.2333
09-02-2001,1405.7,,09-02-2001,19.3738
12-02-2001,1402.2,,12-02-2001,19.3256
13-02-2001,1391.2,,13-02-2001,19.174
14-02-2001,1393.35,,14-02-2001,19.2036
15-02-2001,1416.7,,15-02-2001,19.5254
16-02-2001,1381.35,,16-02-2001,19.0382
19-02-2001,1384.8,,19-02-2001,19.0858
20-02-2001,1383.85,,20-02-2001,19.0727
21-02-2001,1370.1,,21-02-2001,18.8832
22-02-2001,1355.1,,22-02-2001,18.6764
23-02-2001,1320.45,,23-02-2001,18.1989
26-02-2001,1312.4,,26-02-2001,18.0879
27-02-2001,1295.55,,27-02-2001,17.8557
28-02-2001,1351.4,,28-02-2001,18.6255
01-03-2001,1358.05,,01-03-2001,18.7171
02-03-2001,1306.35,,02-03-2001,18.0046
05-03-2001,1271.45,,05-03-2001,17.5236
07-03-2001,1290.5,,07-03-2001,17.7861
08-03-2001,1292.85,,08-03-2001,17.8185
09-03-2001,1254.75,,09-03-2001,17.2934
12-03-2001,1197.95,,12-03-2001,16.5106
13-03-2001,1124.7,,13-03-2001,15.501
14-03-2001,1194.2,,14-03-2001,17.1543
15-03-2001,1217.15,,15-03-2001,17.4839
16-03-2001,1193.55,,16-03-2001,17.1449
19-03-2001,1186.7,,19-03-2001,17.0465
20-03-2001,1170.95,,20-03-2001,16.8203
21-03-2001,1207.1,,21-03-2001,17.3396
22-03-2001,1187.55,,22-03-2001,17.0587
23-03-2001,1161.3,,23-03-2001,16.6817
26-03-2001,1161.5,,26-03-2001,16.6845
27-03-2001,1177.75,,27-03-2001,16.918
28-03-2001,1206.2,,28-03-2001,17.3266
29-03-2001,1195.1,,29-03-2001,17.1672
30-03-2001,1148.2,,30-03-2001,16.4935
02-04-2001,1138.1,,02-04-2001,15.4807
03-04-2001,1149.25,,03-04-2001,15.6324
04-04-2001,1136.65,,04-04-2001,15.461
06-04-2001,1139.6,,06-04-2001,15.5011
09-04-2001,1128.35,,09-04-2001,15.3481
10-04-2001,1103.05,,10-04-2001,15.004
11-04-2001,1066.8,,11-04-2001,14.5109
12-04-2001,1024.9,,12-04-2001,13.941
16-04-2001,1044.6,,16-04-2001,14.2089
17-04-2001,1067,,17-04-2001,14.5136
18-04-2001,1103.4,,18-04-2001,15.0087
19-04-2001,1144.45,,19-04-2001,15.5671
20-04-2001,1144,,20-04-2001,15.561
23-04-2001,1149.75,,23-04-2001,15.6392
24-04-2001,1146.3,,24-04-2001,15.5923
25-04-2001,1155.35,,25-04-2001,15.7154
26-04-2001,1143.75,,26-04-2001,15.5576
27-04-2001,1101.3,,27-04-2001,14.9802
30-04-2001,1125.25,,30-04-2001,15.3059
02-05-2001,1137.2,,02-05-2001,15.4685
03-05-2001,1122.05,,03-05-2001,15.2624
04-05-2001,1130.05,,04-05-2001,15.3712
07-05-2001,1139.2,,07-05-2001,15.4957
08-05-2001,1148.95,,08-05-2001,15.6283
09-05-2001,1149.25,,09-05-2001,15.6324
10-05-2001,1144.95,,10-05-2001,15.5739
11-05-2001,1140.5,,11-05-2001,15.5134
14-05-2001,1140.8,,14-05-2001,15.5175
15-05-2001,1145.3,,15-05-2001,15.5787
16-05-2001,1151.15,,16-05-2001,15.6582
17-05-2001,1174.95,,17-05-2001,15.982
18-05-2001,1172.8,,18-05-2001,15.9527
21-05-2001,1169.45,,21-05-2001,15.9072
22-05-2001,1168.1,,22-05-2001,15.8888
23-05-2001,1179.1,,23-05-2001,16.0384
24-05-2001,1181.85,,24-05-2001,16.0758
25-05-2001,1174.9,,25-05-2001,15.9813
28-05-2001,1193.2,,28-05-2001,16.2302
29-05-2001,1198.45,,29-05-2001,16.3016
30-05-2001,1177.55,,30-05-2001,16.0173
31-05-2001,1167.9,,31-05-2001,15.8861
01-06-2001,1148.05,,01-06-2001,15.6161
04-06-2001,1127.2,,04-06-2001,15.3325
05-06-2001,1115.6,,05-06-2001,15.1747
06-06-2001,1115.7,,06-06-2001,15.176
07-06-2001,1112.35,,07-06-2001,15.1305
08-06-2001,1126.6,,08-06-2001,15.3243
11-06-2001,1131.1,,11-06-2001,15.3855
12-06-2001,1127.15,,12-06-2001,15.3318
13-06-2001,1129,,13-06-2001,15.3569
14-06-2001,1112.75,,14-06-2001,15.1359
15-06-2001,1087.75,,15-06-2001,14.7959
18-06-2001,1078.3,,18-06-2001,14.6673
19-06-2001,1096.65,,19-06-2001,14.9169
20-06-2001,1097.6,,20-06-2001,14.9298
21-06-2001,1095.2,,21-06-2001,14.8972
22-06-2001,1087.65,,22-06-2001,14.7945
25-06-2001,1067,,25-06-2001,14.5136
26-06-2001,1096.6,,26-06-2001,14.9162
27-06-2001,1096.1,,27-06-2001,14.9094
28-06-2001,1094,,28-06-2001,14.8809
29-06-2001,1107.9,,29-06-2001,15.0699
02-07-2001,1100.75,,02-07-2001,14.9285
03-07-2001,1069.8,,03-07-2001,14.5088
04-07-2001,1067.95,,04-07-2001,14.4837
05-07-2001,1069.75,,05-07-2001,14.5081
06-07-2001,1065.1,,06-07-2001,14.445
09-07-2001,1059.5,,09-07-2001,14.3691
10-07-2001,1072.05,,10-07-2001,14.5393
11-07-2001,1083.65,,11-07-2001,14.6966
12-07-2001,1105.5,,12-07-2001,14.9929
13-07-2001,1110.45,,13-07-2001,15.0601
16-07-2001,1105.55,,16-07-2001,14.9936
17-07-2001,1103.1,,17-07-2001,14.9604
18-07-2001,1091.95,,18-07-2001,14.8092
19-07-2001,1085.9,,19-07-2001,14.7271
20-07-2001,1077.7,,20-07-2001,14.6159
23-07-2001,1070.65,,23-07-2001,14.5203
24-07-2001,1072.55,,24-07-2001,14.5461
25-07-2001,1064.2,,25-07-2001,14.4328
26-07-2001,1053.4,,26-07-2001,14.2864
27-07-2001,1051.7,,27-07-2001,14.2633
30-07-2001,1061.45,,30-07-2001,14.3955
31-07-2001,1072.85,,31-07-2001,14.5501
01-08-2001,1063.15,,01-08-2001,14.4186
02-08-2001,1066,,02-08-2001,14.4572
03-08-2001,1074.6,,03-08-2001,14.5739
06-08-2001,1075.25,,06-08-2001,14.5827
07-08-2001,1072.1,,07-08-2001,14.54
08-08-2001,1068,,08-08-2001,14.4844
09-08-2001,1070.65,,09-08-2001,14.5203
10-08-2001,1071.15,,10-08-2001,14.5271
13-08-2001,1063,,13-08-2001,14.4166
14-08-2001,1075.5,,14-08-2001,14.5861
16-08-2001,1078.95,,16-08-2001,14.6329
17-08-2001,1069.2,,17-08-2001,14.5006
20-08-2001,1063.75,,20-08-2001,14.4267
21-08-2001,1068.7,,21-08-2001,14.4939
23-08-2001,1071.5,,23-08-2001,14.5318
24-08-2001,1069.15,,24-08-2001,14.5
27-08-2001,1072.55,,27-08-2001,14.5461
28-08-2001,1070.65,,28-08-2001,14.5203
29-08-2001,1067.45,,29-08-2001,14.4769
30-08-2001,1064.15,,30-08-2001,14.4322
31-08-2001,1053.75,,31-08-2001,14.2911
03-09-2001,1048.05,,03-09-2001,14.2138
04-09-2001,1048.2,,04-09-2001,14.2158
05-09-2001,1045,,05-09-2001,14.1724
06-09-2001,1036.1,,06-09-2001,14.0517
07-09-2001,1035.2,,07-09-2001,14.0395
10-09-2001,1033.4,,10-09-2001,14.0151
11-09-2001,1023.4,,11-09-2001,13.8795
12-09-2001,982.2,,12-09-2001,13.3207
13-09-2001,971.7,,13-09-2001,13.1783
14-09-2001,919.7,,14-09-2001,12.4731
17-09-2001,872.25,,17-09-2001,11.8296
18-09-2001,900.2,,18-09-2001,12.2086
19-09-2001,912.2,,19-09-2001,12.3714
20-09-2001,898.8,,20-09-2001,12.1897
21-09-2001,854.2,,21-09-2001,11.5848
24-09-2001,869.05,,24-09-2001,11.7862
25-09-2001,861.4,,25-09-2001,11.6824
26-09-2001,873.7,,26-09-2001,11.8492
27-09-2001,890,,27-09-2001,12.0703
28-09-2001,913.85,,28-09-2001,12.3938
01-10-2001,910.1,,01-10-2001,12.4304
03-10-2001,899.65,,03-10-2001,12.2877
04-10-2001,911.65,,04-10-2001,12.4516
05-10-2001,914.6,,05-10-2001,12.4919
08-10-2001,901.95,,08-10-2001,12.3191
09-10-2001,912.7,,09-10-2001,12.4659
10-10-2001,940.35,,10-10-2001,12.8436
11-10-2001,954.9,,11-10-2001,13.0423
12-10-2001,960.4,,12-10-2001,13.1174
15-10-2001,963.4,,15-10-2001,13.2421
16-10-2001,971.25,,16-10-2001,13.35
17-10-2001,986.25,,17-10-2001,13.5562
18-10-2001,972.05,,18-10-2001,13.361
19-10-2001,976.65,,19-10-2001,13.4242
22-10-2001,976.4,,22-10-2001,13.4208
23-10-2001,993.2,,23-10-2001,13.6517
24-10-2001,991.2,,24-10-2001,13.6242
25-10-2001,983.2,,25-10-2001,13.5143
29-10-2001,977.45,,29-10-2001,13.4352
30-10-2001,963.1,,30-10-2001,13.238
31-10-2001,971.9,,31-10-2001,13.3589
01-11-2001,994,,01-11-2001,13.6627
02-11-2001,997.6,,02-11-2001,13.7122
05-11-2001,991.05,,05-11-2001,13.6222
06-11-2001,1001.9,,06-11-2001,13.7713
07-11-2001,987.5,,07-11-2001,13.5734
08-11-2001,997.7,,08-11-2001,13.7136
09-11-2001,1004.05,,09-11-2001,13.8009
12-11-2001,1010.9,,12-11-2001,13.895
13-11-2001,1005.4,,13-11-2001,13.8194
14-11-2001,1015.8,,14-11-2001,13.9624
15-11-2001,1035.7,,15-11-2001,14.2359
19-11-2001,1068.15,,19-11-2001,14.6819
20-11-2001,1050.2,,20-11-2001,14.4352
21-11-2001,1056.35,,21-11-2001,14.5197
22-11-2001,1062.45,,22-11-2001,14.6036
23-11-2001,1059,,23-11-2001,14.5562
26-11-2001,1080.6,,26-11-2001,14.853
